name,text,manaCost,type,rarity,games_in_hand,win_rate,set_code
Ark of Hunger,"Whenever one or more cards leave your graveyard, this artifact deals 1 damage to each opponent and you gain 1 life.
{T}: Mill a card. You may play that card this turn.",{2}{R}{W},Artifact,rare,36976,0.631,SOS
"Aziza, Mage Tower Captain","Whenever you cast an instant or sorcery spell, you may tap three untapped creatures you control. If you do, copy that spell. You may choose new targets for the copy.",{R}{W},Legendary Creature — Djinn Sorcerer,rare,17127,0.532,SOS
"Berta, Wise Extrapolator","Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
Whenever one or more +1/+1 counters are put on Berta, add one mana of any color.
{X}, {T}: Create a 0/0 green and blue Fractal creature token and put X +1/+1 counters on it.",{2}{G}{U},Legendary Creature — Frog Druid,rare,22196,0.553,SOS
"Blech, Loafing Pest","Whenever you gain life, put a +1/+1 counter on each Pest, Bat, Insect, Snake, and Spider you control.",{1}{B}{G},Legendary Creature — Pest,rare,17398,0.591,SOS
Bogwater Lumaret,"Whenever this creature or another creature you control enters, you gain 1 life.",{B}{G},Creature — Spirit Frog,common,74573,0.551,SOS
Borrowed Knowledge,"Choose one —
• Discard your hand, then draw cards equal to the number of cards in target opponent's hand.
• Discard your hand, then draw cards equal to the number of cards discarded this way.",{2}{R}{W},Sorcery,uncommon,1568,0.461,SOS
Cauldron of Essence,"Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.
{1}{B}{G}, {T}, Sacrifice a creature: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.",{1}{B}{G},Artifact,rare,15935,0.549,SOS
Colorstorm Stallion,"Ward {1}, haste
Opus — Whenever you cast an instant or sorcery spell, this creature gets +1/+1 until end of turn. If five or more mana was spent to cast that spell, create a token that's a copy of this creature.",{1}{U}{R},Creature — Elemental Horse,rare,32248,0.625,SOS
Colossus of the Blood Age,"When this creature enters, it deals 3 damage to each opponent and you gain 3 life.
When this creature dies, discard any number of cards, then draw that many cards plus one.",{4}{R}{W},Artifact Creature — Construct,uncommon,68864,0.585,SOS
Conciliator's Duelist,"When this creature enters, draw a card. Each player loses 1 life.
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, exile up to one target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.",{W}{W}{B}{B},Creature — Kor Warlock,rare,22348,0.597,SOS
Cuboid Colony,"Flash
Flying, trample
Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)",{G}{U},Creature — Insect,uncommon,38030,0.562,SOS
Dina's Guidance,"Search your library for a creature card, reveal it, put it into your hand or graveyard, then shuffle.",{1}{B}{G},Instant,rare,1342,0.454,SOS
Elemental Mascot,"Flying, vigilance
Opus — Whenever you cast an instant or sorcery spell, this creature gets +1/+0 until end of turn. If five or more mana was spent to cast that spell, exile the top card of your library. You may play that card until the end of your next turn.",{1}{U}{R},Creature — Elemental Bird,common,74428,0.546,SOS
Embrace the Paradox,Draw three cards. You may put a land card from your hand onto the battlefield tapped.,{3}{G}{U},Instant,common,89575,0.563,SOS
Essenceknit Scholar,"When this creature enters, create a 1/1 black and green Pest creature token with ""Whenever this token attacks, you gain 1 life.""
At the beginning of your end step, if a creature died under your control this turn, draw a card.",{B}{B/G}{G},Creature — Dryad Warlock,uncommon,37966,0.58,SOS
Fix What's Broken,"As an additional cost to cast this spell, pay X life.
Return each artifact and creature card with mana value X from your graveyard to the battlefield.",{2}{W}{B},Sorcery,rare,3153,0.464,SOS
Fractal Mascot,"Trample
When this creature enters, tap target creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{4}{G}{U},Creature — Fractal Elk,common,54194,0.541,SOS
Fractal Tender,"Ward {2}
Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
At the beginning of each end step, if you put a counter on this creature this turn, create a 0/0 green and blue Fractal creature token and put three +1/+1 counters on it.",{3}{G}{U},Creature — Elf Wizard,uncommon,31144,0.533,SOS
Geometer's Arthropod,"Whenever you cast a spell with {X} in its mana cost, look at the top X cards of your library. Put one of them into your hand and the rest on the bottom of your library in a random order.",{G}{U},Creature — Fractal Crab,rare,9331,0.548,SOS
Grapple with Death,Destroy target artifact or creature. You gain 1 life.,{1}{B}{G},Sorcery,common,95664,0.564,SOS
Growth Curve,"Put a +1/+1 counter on target creature you control, then double the number of +1/+1 counters on that creature.",{G}{U},Sorcery,uncommon,4741,0.478,SOS
Hardened Academic,"Flying, haste
Discard a card: This creature gains lifelink until end of turn.
Whenever one or more cards leave your graveyard, put a +1/+1 counter on target creature you control.",{R}{W},Creature — Bird Cleric,rare,28053,0.606,SOS
Imperious Inkmage,"Vigilance
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",{1}{W}{B},Creature — Orc Warlock,common,82473,0.572,SOS
Inkling Mascot,"Repartee — Whenever you cast an instant or sorcery spell that targets a creature, this creature gains flying until end of turn. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",{W}{B},Creature — Inkling Cat,common,94463,0.561,SOS
Killian's Confidence,"Target creature gets +1/+1 until end of turn. Draw a card.
Whenever one or more creatures you control deal combat damage to a player, you may pay {W/B}. If you do, return this card from your graveyard to your hand.",{W}{B},Sorcery,uncommon,38893,0.565,SOS
Lorehold Charm,"Choose one —
• Each opponent sacrifices a nontoken artifact of their choice.
• Return target artifact or creature card with mana value 2 or less from your graveyard to the battlefield.
• Creatures you control get +1/+1 and gain trample until end of turn.",{R}{W},Instant,uncommon,25143,0.535,SOS
"Lorehold, the Historian","Flying, haste
Each instant and sorcery card in your hand has miracle {2}. (You may cast a card for its miracle cost when you draw it if it's the first card you drew this turn.)
At the beginning of each opponent's upkeep, you may discard a card. If you do, draw a card.",{3}{R}{W},Legendary Creature — Elder Dragon,mythic,13906,0.579,SOS
Mind into Matter,Draw X cards. Then you may put a permanent card with mana value X or less from your hand onto the battlefield tapped.,{X}{G}{U},Sorcery,rare,26005,0.579,SOS
Mind Roots,Target player discards two cards. Put up to one land card discarded this way onto the battlefield tapped under your control.,{1}{B}{G},Sorcery,uncommon,24476,0.531,SOS
Molten Note,"Molten Note deals damage to target creature equal to the amount of mana spent to cast this spell. Untap all creatures you control.
Flashback {6}{R}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{X}{R}{W},Sorcery,uncommon,72080,0.594,SOS
Moment of Reckoning,"Choose up to four. You may choose the same mode more than once.
• Destroy target nonland permanent.
• Return target nonland permanent card from your graveyard to the battlefield.",{3}{W}{W}{B}{B},Sorcery,rare,28367,0.633,SOS
"Nita, Forum Conciliator","Whenever you cast a spell you don't own, put a +1/+1 counter on each creature you control.
{2}, Sacrifice another creature: Exile target instant or sorcery card from an opponent's graveyard. You may cast it this turn, and mana of any type can be spent to cast that spell. If that spell would be put into a graveyard, exile it instead. Activate only as a sorcery.",{1}{W}{B},Legendary Creature — Human Advisor,rare,9155,0.514,SOS
Old-Growth Educator,"Reach, vigilance
Infusion — When this creature enters, put two +1/+1 counters on it if you gained life this turn.",{2}{B}{G},Creature — Treefolk Druid,uncommon,27525,0.539,SOS
Paradox Surveyor,"Reach
When this creature enters, look at the top five cards of your library. You may reveal a land card or a card with {X} in its mana cost from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",{G}{G/U}{U},Creature — Elf Druid,uncommon,51795,0.585,SOS
Pest Mascot,"Trample
Whenever you gain life, put a +1/+1 counter on this creature.",{1}{B}{G},Creature — Pest Ape,common,65034,0.532,SOS
Practiced Scrollsmith,"First strike
When this creature enters, exile target noncreature, nonland card from your graveyard. Until the end of your next turn, you may cast that card.",{R}{R/W}{W},Creature — Dwarf Cleric,uncommon,70789,0.59,SOS
Prismari Charm,"Choose one —
• Surveil 2, then draw a card.
• Prismari Charm deals 1 damage to each of one or two targets.
• Return target nonland permanent to its owner's hand.",{U}{R},Instant,uncommon,52783,0.567,SOS
"Prismari, the Inspiration","Flying
Ward—Pay 5 life.
Instant and sorcery spells you cast have storm. (Whenever you cast an instant or sorcery spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)",{5}{U}{R},Legendary Creature — Elder Dragon,mythic,10060,0.542,SOS
Proctor's Gaze,"Return up to one target nonland permanent to its owner's hand. Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",{2}{G}{U},Instant,uncommon,58360,0.578,SOS
Professor Dellian Fel,"[+2]: You gain 3 life.
[0]: You draw a card and lose 1 life.
[−3]: Destroy target creature.
[−6]: You get an emblem with ""Whenever you gain life, target opponent loses that much life.""",{2}{B}{G},Legendary Planeswalker — Dellian,mythic,12229,0.627,SOS
Pterafractyl,"Flying
This creature enters with X +1/+1 counters on it.
When this creature enters, you gain 2 life.",{X}{G}{U},Creature — Dinosaur Fractal,common,65970,0.536,SOS
Pursue the Past,"You gain 2 life. You may discard a card. If you do, draw two cards.
Flashback {2}{R}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{R}{W},Sorcery,common,131150,0.591,SOS
Quandrix Charm,"Choose one —
• Counter target spell unless its controller pays {2}.
• Destroy target enchantment.
• Target creature has base power and toughness 5/5 until end of turn.",{G}{U},Instant,uncommon,39915,0.576,SOS
"Quandrix, the Proof","Flying, trample
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)
Instant and sorcery spells you cast from your hand have cascade.",{4}{G}{U},Legendary Creature — Elder Dragon,mythic,13691,0.612,SOS
